name,rarity,value,relativeWeight
Agent of the Old Ones,Common,0.05,1
Air Support,Common,0.05,1
Al'Akir Lord of Storms,Legendary,4,1
Alexstrasza Guardian of Life,Legendary,4,1
Arcane Flow,Rare,0.2,1
Archmage Kalec,Legendary,4,1
Arisen Onyxia,Legendary,4,1
Armored Bloodletter,Common,0.05,1
Ascendance,Epic,1,1
Azshara's Triumph,Epic,1,1
Azshara Ocean Lord,Legendary,4,1
Battlefield Blaster,Common,0.05,1
Blackwing Experiment,Rare,0.2,1
Bronze Keeper,Common,0.05,1
Bronze Redeemer,Epic,1,1
Broodwatcher,Epic,1,1
Broxigar's Last Stand,Rare,0.2,1
Carrier Whelp,Common,0.05,1
Cataclysmic War Axe,Common,0.05,1
Ceremonial Clash,Common,0.05,1
Chamber of Aspects,Common,0.05,1
Chaos Supplicant,Rare,0.2,1
Cho'gall Mastermind,Legendary,4,1
Chow Down,Rare,0.2,1
Chromatic Broodmother,Epic,1,1
Chromatus,Legendary,4,1
Cleansing Cleric,Epic,1,1
Command Claw,Common,0.05,1
Commander Geddon,Legendary,4,1
Confront the Tol'vir,Epic,1,1
Conjuration Specialist,Epic,1,1
Crackling Cloudstrider,Epic,1,1
Crystalspine Cub,Common,0.05,1
Cursed Chains,Epic,1,1
Darkscale Broodmother,Rare,0.2,1
Daze,Rare,0.2,1
Deathwing Worldbreaker,Legendary,4,1
Decimation,Epic,1,1
Destructive Blaze,Epic,1,1
Disposable Acolytes,Common,0.05,1
Drakeadon Mongrel,Common,0.05,1
Dread Leviathan,Common,0.05,1
Duke of Below,Epic,1,1
Earthen Drake,Rare,0.2,1
Earthen Roar,Rare,0.2,1
Ebonscale Scout,Epic,1,1
Ebyssian,Legendary,4,1
Eldritch Tentacles,Rare,0.2,1
Envoy of the End,Common,0.05,1
Erupting Volcano,Rare,0.2,1
Experimental Animation,Common,0.05,1
Faceless Replicator,Epic,1,1
Fel Infusion,Epic,1,1
Felwood Treant,Rare,0.2,1
Flash Flood,Rare,0.2,1
Flight Maneuvers,Epic,1,1
Forest's Gift,Common,0.05,1
Frostbitten Imp,Common,0.05,1
Garona's Last Stand,Common,0.05,1
Gelbin's Triumph,Rare,0.2,1
Gemstone Hoarder,Common,0.05,1
Genn Cursed King,Legendary,4,1
Gronn Giant,Epic,1,1
Gruesome Nightmare,Epic,1,1
Incensed Matriarch,Common,0.05,1
Injured Attendant,Rare,0.2,1
Inspiring Maul,Common,0.05,1
Iridescent Flitterwing,Common,0.05,1
Iso'rath,Legendary,4,1
Lo'Gosh's Last Stand,Common,0.05,1
Magmaw,Legendary,4,1
Malevolent Mutant,Epic,1,1
Maloriak,Legendary,4,1
Maniacal Follower,Epic,1,1
Medivh's Triumph,Epic,1,1
Mend,Common,0.05,1
Merithra of the Dream,Legendary,4,1
Morchok,Legendary,4,1
Mossbinding,Rare,0.2,1
Muradin's Last Stand,Rare,0.2,1
Nespirah Enthralled,Legendary,4,1
Nozdormu Bronze Aspect,Legendary,4,1
Obsessive Technician,Common,0.05,1
Ocular Occultist,Common,0.05,1
Purifying Breath,Common,0.05,1
Rafaams' Last Stand,Rare,0.2,1
Ragnaros the Great Fire,Legendary,4,1
Raincaller,Rare,0.2,1
Ravenous Felfisher,Rare,0.2,1
Reinforcement Rallier,Common,0.05,1
Rite of Twilight,Rare,0.2,1
Ritual of Power,Rare,0.2,1
Ruby Sanctum,Rare,0.2,1
Sandfury Aura,Rare,0.2,1
Scalebreaker Bulwark,Common,0.05,1
Scaled Lancer,Common,0.05,1
Schism,Rare,0.2,1
Scorching Ravager,Rare,0.2,1
Searing Fissure,Common,0.05,1
Selfless Protector,Rare,0.2,1
Shadowed Informant,Rare,0.2,1
Shadowsworn Disciple,Common,0.05,1
Sheltered Survivor,Common,0.05,1
Shrine of Twilight,Rare,0.2,1
Sigil of the Seas,Common,0.05,1
Sindragosa's Triumph,Rare,0.2,1
Sinestra,Legendary,4,1
Skywall Sentinel,Rare,0.2,1
Sleet Storm,Common,0.05,1
Spearheart Sentry,Rare,0.2,1
Spellweaver's Brilliance,Common,0.05,1
Stickybomb Saboteur,Epic,1,1
Stolen Power,Common,0.05,1
Stonetalon Striker,Rare,0.2,1
Stormbinder,Common,0.05,1
Supply Run,Common,0.05,1
Survivalist,Epic,1,1
Sylvanas's Triumph,Common,0.05,1
Talanji's Last Stand,Rare,0.2,1
The Black Blood,Legendary,4,1
Tol'vir Carver,Rare,0.2,1
Torch,Rare,0.2,1
Twilight Egg,Common,0.05,1
Twilight Mistress,Epic,1,1
Twisted Monstrosity,Rare,0.2,1
Ultraxion,Legendary,4,1
Unstable Spellcaster,Epic,1,1
Victor Nefarius,Legendary,4,1
Vulcanos,Legendary,4,1
Vyranoth,Legendary,4,1
War'loc,Epic,1,1
Warmaster Blackhorn,Legendary,4,1
Wickerfang,Legendary,4,1
Wildwood Circle,Rare,0.2,1
Winterspring Whelp,Common,0.05,1
Agent of the Old Ones,Golden Common,0.5,1
Air Support,Golden Common,0.5,1
Al'Akir Lord of Storms,Golden Legendary,16,1
Alexstrasza Guardian of Life,Golden Legendary,16,1
Arcane Flow,Golden Rare,1,1
Archmage Kalec,Golden Legendary,16,1
Arisen Onyxia,Golden Legendary,16,1
Armored Bloodletter,Golden Common,0.5,1
Ascendance,Golden Epic,4,1
Azshara's Triumph,Golden Epic,4,1
Azshara Ocean Lord,Golden Legendary,16,1
Battlefield Blaster,Golden Common,0.5,1
Blackwing Experiment,Golden Rare,1,1
Bronze Keeper,Golden Common,0.5,1
Bronze Redeemer,Golden Epic,4,1
Broodwatcher,Golden Epic,4,1
Broxigar's Last Stand,Golden Rare,1,1
Carrier Whelp,Golden Common,0.5,1
Cataclysmic War Axe,Golden Common,0.5,1
Ceremonial Clash,Golden Common,0.5,1
Chamber of Aspects,Golden Common,0.5,1
Chaos Supplicant,Golden Rare,1,1
Cho'gall Mastermind,Golden Legendary,16,1
Chow Down,Golden Rare,1,1
Chromatic Broodmother,Golden Epic,4,1
Chromatus,Golden Legendary,16,1
Cleansing Cleric,Golden Epic,4,1
Command Claw,Golden Common,0.5,1
Commander Geddon,Golden Legendary,16,1
Confront the Tol'vir,Golden Epic,4,1
Conjuration Specialist,Golden Epic,4,1
Crackling Cloudstrider,Golden Epic,4,1
Crystalspine Cub,Golden Common,0.5,1
Cursed Chains,Golden Epic,4,1
Darkscale Broodmother,Golden Rare,1,1
Daze,Golden Rare,1,1
Deathwing Worldbreaker,Golden Legendary,16,1
Decimation,Golden Epic,4,1
Destructive Blaze,Golden Epic,4,1
Disposable Acolytes,Golden Common,0.5,1
Drakeadon Mongrel,Golden Common,0.5,1
Dread Leviathan,Golden Common,0.5,1
Duke of Below,Golden Epic,4,1
Earthen Drake,Golden Rare,1,1
Earthen Roar,Golden Rare,1,1
Ebonscale Scout,Golden Epic,4,1
Ebyssian,Golden Legendary,16,1
Eldritch Tentacles,Golden Rare,1,1
Envoy of the End,Golden Common,0.5,1
Erupting Volcano,Golden Rare,1,1
Experimental Animation,Golden Common,0.5,1
Faceless Replicator,Golden Epic,4,1
Fel Infusion,Golden Epic,4,1
Felwood Treant,Golden Rare,1,1
Flash Flood,Golden Rare,1,1
Flight Maneuvers,Golden Epic,4,1
Forest's Gift,Golden Common,0.5,1
Frostbitten Imp,Golden Common,0.5,1
Garona's Last Stand,Golden Common,0.5,1
Gelbin's Triumph,Golden Rare,1,1
Gemstone Hoarder,Golden Common,0.5,1
Genn Cursed King,Golden Legendary,16,1
